parameter,mean,std
Klei_soilphi,30.2,7.3
Klei_soilcohesion,5.9,1.4
Klei_soilcurkb1,2000,485.4
Klei_soilcurkb2,1000,242.7
Klei_soilcurkb3,500,121.4
Klei_soilcurko1,2000,485.4
Klei_soilcurko2,1000,242.7
Klei_soilcurko3,500,121.4
Zand_soilphi,27.5,6.7
Zand_soilcohesion,0,0
Zand_soilcurkb1,12000,2912.4
Zand_soilcurkb2,6000,1456.2
Zand_soilcurkb3,3000,728.1
Zand_soilcurko1,12000,2912.4
Zand_soilcurko2,6000,1456.2
Zand_soilcurko3,3000,728.1
Zandvast_soilphi,33.8,8.2
Zandvast_soilcohesion,0,0
Zandvast_soilcurkb1,30000,7281
Zandvast_soilcurkb2,15000,3640.5
Zandvast_soilcurkb3,7500,1820.3
Zandvast_soilcurko1,30000,7281
Zandvast_soilcurko2,15000,3640.5
Zandvast_soilcurko3,7500,1820.3
Zandlos_soilphi,30,7.3
Zandlos_soilcohesion,0,0
Zandlos_soilcurkb1,12000,2912.4
Zandlos_soilcurkb2,6000,1456.2
Zandlos_soilcurkb3,3000,728.1
Zandlos_soilcurko1,12000,2912.4
Zandlos_soilcurko2,6000,1456.2
Zandlos_soilcurko3,4000,970.8
Wall_SheetPilingElementEI,45003, 7000
